"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 성동구 옥수동","528-1","528","1","옥수파크힐스117동~125동","59.91","202405","7","151,000","-","16","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"2","서울특별시 성동구 옥수동","250","250","0","옥수삼성","59.7","202405","7","119,500","-","5","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"3","서울특별시 성동구 옥수동","250","250","0","옥수삼성","59.7","202405","10","121,500","-","12","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"4","서울특별시 성동구 옥수동","250","250","0","옥수삼성","114.666","202405","11","180,000","-","20","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"5","서울특별시 성동구 옥수동","250","250","0","옥수삼성","84.822","202405","11","146,000","-","17","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"6","서울특별시 성동구 옥수동","250","250","0","옥수삼성","84.822","202405","11","146,000","-","17","개인","개인","1999","독서당로 218","20240514","중개거래","서울 성동구","-"
"7","서울특별시 성동구 옥수동","250","250","0","옥수삼성","59.7","202405","11","123,000","-","16","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"8","서울특별시 성동구 옥수동","250","250","0","옥수삼성","114.666","202405","15","164,000","-","2","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"9","서울특별시 성동구 옥수동","250","250","0","옥수삼성","84.822","202405","15","153,000","-","15","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"10","서울특별시 성동구 옥수동","220-1","220","1","한남하이츠","87.67","202405","15","173,000","-","9","개인","개인","1982","독서당로 156","-","중개거래","대전 유성구, 서울 성동구","-"
"11","서울특별시 성동구 옥수동","528","528","0","옥수파크힐스101동~116동","59.88","202405","16","158,000","-","9","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"12","서울특별시 성동구 옥수동","560","560","0","옥수어울림","84.699","202405","18","155,000","-","13","개인","개인","2011","독서당로40길 37","-","중개거래","서울 성동구","-"
"13","서울특별시 성동구 옥수동","428","428","0","극동","84.74","202405","18","121,000","-","6","개인","개인","1986","독서당로 191","-","중개거래","서울 성동구","-"
"14","서울특별시 종로구 사직동","9","9","0","광화문스페이스본(101동~105동)","94.51","202405","7","138,000","-","3","개인","개인","2008","사직로8길 4","-","중개거래","서울 종로구","-"
"15","서울특별시 종로구 내수동","95","95","0","경희궁파크팰리스","103.77","202405","10","148,000","-","14","개인","개인","2003","사직로8길 20","-","중개거래","서울 종로구","-"
"16","서울특별시 종로구 수송동","85","85","0","로얄팰리스스위트","40.07","202405","21","35,000","로얄팰리스스위트","14","개인","법인","2005","율곡로2길 7","-","중개거래","서울 종로구","24.05.24"
"17","서울특별시 종로구 익선동","55","55","0","현대뜨레비앙","46.64","202405","16","39,000","현대뜨레비앙","3","개인","개인","2003","돈화문로11가길 59","-","중개거래","서울 종로구","24.05.28"
"18","서울특별시 종로구 연건동","195-10","195","10","이화에수풀","16.98","202405","24","18,000","-","4","법인","개인","2014","대학로 47","-","중개거래","서울 종로구","-"
"19","서울특별시 종로구 명륜1가","19","19","0","렉스빌","135.79","202405","8","120,000","-","4","개인","개인","2006","혜화로3가길 30","-","중개거래","서울 종로구","-"
"20","서울특별시 종로구 명륜2가","4","4","0","아남1","84.9","202405","7","118,000","-","15","개인","개인","1995","창경궁로 265","-","중개거래","서울 강남구, 서울 종로구","-"
"21","서울특별시 종로구 창신동","703","703","0","창신쌍용2","64.66","202405","10","60,000","-","9","개인","개인","1993","낙산길 198","-","중개거래","서울 종로구","-"
"22","서울특별시 종로구 창신동","703","703","0","창신쌍용2","106.62","202405","13","80,500","-","8","개인","개인","1993","낙산길 198","-","중개거래","서울 종로구","-"
"23","서울특별시 종로구 창신동","703","703","0","창신쌍용2","64.66","202405","13","58,000","-","3","개인","개인","1993","낙산길 198","-","중개거래","서울 성북구, 서울 종로구","-"
"24","서울특별시 종로구 창신동","639-50","639","50","덕산","59.28","202405","14","34,100","-","2","개인","개인","1999","창신9길 14","-","직거래","-","24.05.20"
"25","서울특별시 종로구 창신동","703","703","0","창신쌍용2","54.7","202405","14","55,000","-","3","개인","개인","1993","낙산길 198","-","중개거래","광주 광산구, 서울 종로구","-"
"26","서울특별시 종로구 창신동","232","232","0","두산","59.95","202405","18","90,000","-","11","개인","개인","1999","지봉로5길 7","-","중개거래","서울 종로구","-"
"27","서울특별시 종로구 창신동","232","232","0","두산","84.9","202405","20","109,500","-","5","개인","개인","1999","지봉로5길 7","-","중개거래","서울 종로구","-"
"28","서울특별시 종로구 창신동","703","703","0","창신쌍용2","54.7","202405","25","53,000","-","1","개인","개인","1993","낙산길 198","-","중개거래","서울 종로구","-"
"29","서울특별시 종로구 창신동","703","703","0","창신쌍용2","79.87","202405","28","68,000","-","6","개인","개인","1993","낙산길 198","-","중개거래","서울 동대문구","-"
"30","서울특별시 종로구 창신동","703","703","0","창신쌍용2","64.66","202405","28","60,000","-","3","개인","개인","1993","낙산길 198","-","중개거래","서울 동대문구","-"
"31","서울특별시 종로구 숭인동","766","766","0","종로청계힐스테이트","84.9478","202405","11","100,600","-","7","개인","개인","2009","숭인동길 21","-","중개거래","서울 종로구","-"
"32","서울특별시 종로구 숭인동","766","766","0","종로청계힐스테이트","84.9478","202405","14","105,000","-","18","개인","개인","2009","숭인동길 21","20240514","중개거래","서울 종로구","-"
"33","서울특별시 종로구 숭인동","766","766","0","종로청계힐스테이트","84.9478","202405","25","102,000","-","18","개인","개인","2009","숭인동길 21","-","중개거래","서울 종로구","-"
"34","서울특별시 종로구 평동","233","233","0","경희궁자이(3단지)","59.9425","202405","7","155,000","-","2","개인","개인","2017","경교장길 35","-","중개거래","서울 종로구","-"
